,Animal Name,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Order,Superorder,Suborder,Infraorder,Family,Superfamily,Subfamily,Genus,Subgenus,Tribe,Clade
1265,White-Tailed Eagle,Animalia,Chordata,,Aves,,,Accipitriformes,,,,Accipitridae,,,Haliaeetus,,,
1266,Gyrfalcon,Animalia,Chordata,,Aves,,,Falconiformes,,,,Falconidae,,,Falco,,,
1267,White-Bellied Sea Eagle,Animalia,Chordata,,Aves,,,Accipitriformes,,,,Accipitridae,,,Haliaeetus,,,
1268,Crowned Eagle,Animalia,Chordata,,Aves,,,Accipitriformes,,,,Accipitridae,,,Stephanoaetus,,,
1269,Splendid Fairy-Wren,Animalia,Chordata,,Aves,,,Passeriformes,,,,Maluridae,,,Malurus,,,
1270,American Goldfinch,Animalia,Chordata,,Aves,,,Passeriformes,,,,Fringillidae,,Carduelinae,Spinus,,,
1271,European Goldfinch,Animalia,Chordata,,Aves,,,Passeriformes,,,,Fringillidae,,Carduelinae,Carduelis,,,
1272,Saker Falcon,Animalia,Chordata,,Aves,,,Falconiformes,,,,Falconidae,,,Falco,,,
1273,Snowy Egret,Animalia,Chordata,,Aves,Neornithes,Neognathae,Pelecaniformes,Neoaves,,,Ardeidae,,,Egretta,,,
1274,Lanner Falcon,Animalia,Chordata,,Aves,,,Falconiformes,,,,Falconidae,,,Falco,,,
1275,Bat Falcon,Animalia,Chordata,,Aves,,,Falconiformes,,,,Falconidae,,,Falco,,,
1276,Gouldian Finch,Animalia,Chordata,,Aves,,,Passeriformes,,,,Estrildidae,,,Erythrura,,,
1277,Little Egret,Animalia,Chordata,,Aves,Neornithes,Neognathae,Pelecaniformes,Neoaves,,,Ardeidae,,,Egretta,,,
1278,Magnificent Frigatebird,Animalia,Chordata,,Aves,Neornithes,Neognathae,Suliformes,Neoaves,,,Fregatidae,,,Fregata,,,
1279,Purple Gallinule,Animalia,Chordata,,Aves,Neornithes,Neognathae,Gruiformes,Neoaves,,,Rallidae,,,Porphyrio,,,
1280,Pacific Black Duck,Animalia,Chordata,,Aves,,,Anseriformes,,,,Anatidae,,,Anas,,,
1281,Helmeted Guineafowl,Animalia,Chordata,,Aves,,,Galliformes,,,,Numididae,,,Numida,,,
1282,Northern Fulmar,Animalia,Chordata,,Aves,,,Procellariiformes,,,,Procellariidae,,,Fulmarus,,,
1283,American Black Duck,Animalia,Chordata,,Aves,,,Anseriformes,,,,Anatidae,,,Anas,,,
1284,Barnacle Goose,Animalia,Chordata,,Aves,,,Anseriformes,,,,Anatidae,,,Branta,,,
1285,Bar-Headed Goose,Animalia,Chordata,,Aves,,,Anseriformes,,,,Anatidae,,,Anser,,,
1286,Merlin,Animalia,Chordata,,Aves,,,Falconiformes,,,,Falconidae,,,Falco,,,
1287,Aplomado Falcon,Animalia,Chordata,,Aves,,,Falconiformes,,,,Falconidae,,,Falco,,,
1288,Prairie Falcon,Animalia,Chordata,,Aves,,,Falconiformes,,,,Falconidae,,,Falco,,,
1289,Hawaiian Duck,Animalia,Chordata,,Aves,,,Anseriformes,,,,Anatidae,,,Anas,,,
1290,Tawny Frogmouth,Animalia,Chordata,,Aves,,,Caprimulgiformes,,,,Podargidae,,,Podargus,,,
1291,Bateleur,Animalia,Chordata,,Aves,,,Accipitriformes,,,,Accipitridae,,,Terathopius,,,
1292,Black-Headed Gull,Animalia,Chordata,,Aves,,,Charadriiformes,,,,Laridae,,,Chroicocephalus,,,
1293,Common Grackle,Animalia,Chordata,,Aves,,,Passeriformes,,,,Icteridae,,,Quiscalus,,,
1294,Greylag Goose,Animalia,Chordata,,Aves,,,Anseriformes,,,,Anatidae,,,Anser,,,
1295,Little Grebe,Animalia,Chordata,,Aves,,,Podicipediformes,,,,Podicipedidae,,,Tachybaptus,,,
1296,Northern Gannet,Animalia,Chordata,,Aves,Neornithes,Neognathae,Suliformes,Neoaves,,,Sulidae,,,Morus,,,
1297,Spectacled Eider,Animalia,Chordata,,Aves,,,Anseriformes,,,,Anatidae,,,Somateria,,,
1298,Superb Fairy-Wren,Animalia,Chordata,,Aves,,,Passeriformes,,,,Maluridae,,,Malurus,,,
1299,Bar-Tailed Godwit,Animalia,Chordata,,Aves,,,Charadriiformes,,,,Scolopacidae,,,Limosa,,,
1300,Great Crested Grebe,Animalia,Chordata,,Aves,,,Podicipediformes,,,,Podicipedidae,,,Podiceps,,,
1301,Tufted Duck,Animalia,Chordata,,Aves,,,Anseriformes,,,,Anatidae,,,Aythya,,,
1302,Great Hornbill,Animalia,Chordata,,Aves,,,Bucerotiformes,,,,Bucerotidae,,,Buceros,,,
1303,Ivory Gull,Animalia,Chordata,,Aves,,,Charadriiformes,,,,Laridae,,,Pagophila,,,
1304,Bee Hummingbird,Animalia,Chordata,,Aves,,,Apodiformes,,,,Trochilidae,,,Mellisuga,,,
1305,Ruddy Duck,Animalia,Chordata,,Aves,,,Anseriformes,,,,Anatidae,,,Oxyura,,,
1306,Rose-Breasted Grosbeak,Animalia,Chordata,,Aves,,,Passeriformes,,,,Cardinalidae,,,Pheucticus,,,
1307,American Kestrel,Animalia,Chordata,,Aves,,,Falconiformes,,,,Falconidae,,,Falco,,,
1308,Northern Flicker,Animalia,Chordata,,Aves,,,Piciformes,,,,Picidae,,,Colaptes,,,
1309,Laughing Gull,Animalia,Chordata,,Aves,,,Charadriiformes,,,,Laridae,,,Leucophaeus,,,
1310,Long-Tailed Duck,Animalia,Chordata,,Aves,,,Anseriformes,,,,Anatidae,,,Clangula,,,
1311,Pink-Footed Goose,Animalia,Chordata,,Aves,,,Anseriformes,,,,Anatidae,,,Anser,,,
1312,Australian White Ibis,Animalia,Chordata,,Aves,Neornithes,Neognathae,Pelecaniformes,Neoaves,,,Threskiornithidae,,,Threskiornis,,,
1313,Common Black Hawk,Animalia,Chordata,,Aves,,,Accipitriformes,,,,Accipitridae,,,Buteogallus,,,
1314,California Gull,Animalia,Chordata,,Aves,,,Charadriiformes,,,,Laridae,,,Larus,,,
1315,Anna's Hummingbird,Animalia,Chordata,,Aves,,,Apodiformes,,,,Trochilidae,,,Calypte,,,
1316,Hoatzin,Animalia,Chordata,,Aves,,,Opisthocomiformes,,,,Opisthocomidae,,,Opisthocomus,,,
1317,Vermilion Flycatcher,Animalia,Chordata,,Aves,,,Passeriformes,,,,Tyrannidae,,,Pyrocephalus,,,
1318,Zebra Finch,Animalia,Chordata,,Aves,,,Passeriformes,,,,Estrildidae,,,Taeniopygia,,,
1319,Acadian Flycatcher,Animalia,Chordata,,Aves,,,Passeriformes,,,,Tyrannidae,,,Empidonax,,,
1320,Swan Goose,Animalia,Chordata,,Aves,,,Anseriformes,,,,Anatidae,,,Anser,,,
1321,Harlequin Duck,Animalia,Chordata,,Aves,,,Anseriformes,,,,Anatidae,,,Histrionicus,,,
1322,Blue Grosbeak,Animalia,Chordata,,Aves,,,Passeriformes,,,,Cardinalidae,,,Passerina,,,
1323,Black-Chinned Hummingbird,Animalia,Chordata,,Aves,,,Apodiformes,,,,Trochilidae,,,Archilochus,,,
1324,Blue Jay,Animalia,Chordata,,Aves,,,Passeriformes,,,,Corvidae,,,Cyanocitta,,,
1325,Muscovy Duck,Animalia,Chordata,,Aves,,,Anseriformes,,,,Anatidae,,,Cairina,,,
1326,Western Gull,Animalia,Chordata,,Aves,,,Charadriiformes,,,,Laridae,,,Larus,,,
1327,Broad-Tailed Hummingbird,Animalia,Chordata,,Aves,,,Apodiformes,,,,Trochilidae,,,Selasphorus,,,
1328,Broad-Winged Hawk,Animalia,Chordata,,Aves,,,Accipitriformes,,,,Accipitridae,,,Buteo,,,
1329,Cooper's Hawk,Animalia,Chordata,,Aves,,,Accipitriformes,,,,Accipitridae,,,Accipiter,,,
1330,Galapagos Hawk,Animalia,Chordata,,Aves,,,Accipitriformes,,,,Accipitridae,,,Buteo,,,
1331,Ruffed Grouse,Animalia,Chordata,,Aves,,,Galliformes,,,,Phasianidae,,,Bonasa,,,
1332,Ring-Necked Duck,Animalia,Chordata,,Aves,,,Anseriformes,,,,Anatidae,,,Aythya,,,
1333,Ruby-Throated Hummingbird,Animalia,Chordata,,Aves,,,Apodiformes,,,,Trochilidae,,,Archilochus,,,
1334,Pied-Billed Grebe,Animalia,Chordata,,Aves,,,Podicipediformes,,,,Podicipedidae,,,Podilymbus,,,
1335,Black Kite,Animalia,Chordata,,Aves,,,Accipitriformes,,,,Accipitridae,,,Milvus,,,
1336,Glossy Ibis,Animalia,Chordata,,Aves,Neornithes,Neognathae,Pelecaniformes,Neoaves,,,Threskiornithidae,,,Plegadis,,,
1337,Northern Hawk-Owl,Animalia,Chordata,,Aves,,,Strigiformes,,,,Strigidae,,,Surnia,,,
1338,Rhinoceros Hornbill,Animalia,Chordata,,Aves,,,Bucerotiformes,,,,Bucerotidae,,,Buceros,,,
1339,Red-Browed Finch,Animalia,Chordata,,Aves,,,Passeriformes,,,,Estrildidae,,,Neochmia,,,
1340,Harris's Hawk,Animalia,Chordata,,Aves,,,Accipitriformes,,,,Accipitridae,,,Parabuteo,,,
1341,Calliope Hummingbird,Animalia,Chordata,,Aves,,,Apodiformes,,,,Trochilidae,,,Selasphorus,,,
1342,Blacksmith Lapwing,Animalia,Chordata,,Aves,,,Charadriiformes,,,,Charadriidae,,,Vanellus,,,
1343,Hawaiian Hawk,Animalia,Chordata,,Aves,,,Accipitriformes,,,,Accipitridae,,,Buteo,,,
1344,Southern Ground Hornbil,Animalia,Chordata,,Aves,,,Bucerotiformes,,,,Bucorvidae,,,Bucorvus,,,
1345,Scarlet Ibis,Animalia,Chordata,,Aves,Neornithes,Neognathae,Pelecaniformes,Neoaves,,,Threskiornithidae,,,Eudocimus,,,
1346,Rufous Hummingbird,Animalia,Chordata,,Aves,,,Apodiformes,,,,Trochilidae,,,Selasphorus,,,
1347,Crested Ibis,Animalia,Chordata,,Aves,Neornithes,Neognathae,Pelecaniformes,Neoaves,,,Threskiornithidae,,,Nipponia,,,
1348,Northern Goshawk,Animalia,Chordata,,Aves,,,Accipitriformes,,,,Accipitridae,,,Accipiter,,,
